cod_mun,municipio,ano_mes,temp_media_c,temp_min_c,temp_max_c,temp_amplitude_c,precip_mm,umidade_relativa_pct
520010,ABADIANIA,2024-04,23.87,16.28,32.8,16.52,2.0,71.3
520010,ABADIANIA,2024-05,23.47,13.57,33.32,19.75,0.0,46.2
520010,ABADIANIA,2024-06,22.16,13.01,31.65,18.64,0.0,45.1
520010,ABADIANIA,2024-07,22.39,13.03,32.56,19.53,0.0,36.9
520010,ABADIANIA,2024-08,23.57,11.1,34.9,23.8,0.0,34.1
520010,ABADIANIA,2024-09,27.36,16.79,37.94,21.15,0.3,27.8
520010,ABADIANIA,2024-10,25.92,17.94,39.51,21.57,8.1,60.4
520010,ABADIANIA,2024-11,22.84,17.18,29.44,12.26,9.0,83.7
520010,ABADIANIA,2024-12,23.24,16.23,29.59,13.36,3.4,80.0
520010,ABADIANIA,2024-13,23.83,11.1,39.51,28.41,3.2,60.1
520010,ABADIANIA,2025-01,22.91,17.03,29.71,12.68,4.8,82.6
520010,ABADIANIA,2025-02,23.47,16.95,32.98,16.03,4.3,72.7
520010,ABADIANIA,2025-03,24.4,17.08,33.91,16.83,4.1,67.5
520010,ABADIANIA,2025-04,24.22,17.63,31.94,14.31,1.5,70.4
520010,ABADIANIA,2025-05,22.7,14.08,32.55,18.47,0.2,54.8
520010,ABADIANIA,2025-06,22.0,12.58,32.09,19.51,0.2,50.7
520010,ABADIANIA,2025-07,21.86,12.86,32.32,19.46,0.0,41.3
520010,ABADIANIA,2025-08,23.61,9.79,34.21,24.42,0.0,33.1
520010,ABADIANIA,2025-09,26.34,16.69,36.59,19.9,0.6,35.8
520010,ABADIANIA,2025-10,26.37,15.24,37.81,22.57,1.6,45.1
520010,ABADIANIA,2025-11,25.76,14.92,35.3,20.38,3.2,61.0
520010,ABADIANIA,2025-12,23.21,16.9,33.52,16.62,6.0,77.9
520010,ABADIANIA,2025-13,23.9,9.79,37.81,28.02,2.2,57.6
520013,ACREUNA,2017-01,24.37,18.68,33.58,14.9,7.2,81.3
520013,ACREUNA,2017-02,24.12,18.11,30.3,12.19,6.7,83.0
520013,ACREUNA,2017-03,24.6,18.87,31.12,12.25,6.4,81.2
520013,ACREUNA,2017-04,23.41,14.66,29.99,15.33,4.5,82.3
520013,ACREUNA,2017-05,22.79,14.29,30.51,16.22,1.5,77.2
520013,ACREUNA,2017-06,21.42,10.96,32.0,21.04,0.0,65.2
520013,ACREUNA,2017-07,20.58,9.04,32.37,23.33,0.0,48.2
520013,ACREUNA,2017-08,25.41,11.81,36.69,24.88,0.0,37.2
520013,ACREUNA,2017-09,27.15,14.76,37.84,23.08,0.9,29.7
520013,ACREUNA,2017-10,28.48,15.75,41.69,25.94,2.6,46.6
520013,ACREUNA,2017-11,24.51,14.93,31.72,16.79,9.6,79.7
520013,ACREUNA,2017-12,24.38,18.31,30.6,12.29,5.8,83.7
520013,ACREUNA,2017-13,24.27,9.04,41.69,32.65,3.7,66.2
520013,ACREUNA,2018-01,24.26,17.58,31.68,14.1,6.3,81.4
520013,ACREUNA,2018-02,24.43,19.16,30.87,11.71,6.7,81.9
520013,ACREUNA,2018-03,24.83,18.69,31.0,12.31,4.4,82.0
520013,ACREUNA,2018-04,22.79,14.26,30.89,16.63,2.3,81.3
520013,ACREUNA,2018-05,21.66,6.62,32.09,25.47,0.5,67.5
520013,ACREUNA,2018-06,23.43,13.77,34.15,20.38,0.0,54.2
520013,ACREUNA,2018-07,23.26,11.67,33.99,22.32,0.0,42.6
520013,ACREUNA,2018-08,25.57,11.25,35.8,24.55,0.1,39.3
520013,ACREUNA,2018-09,26.79,12.29,38.77,26.48,1.6,45.4
520013,ACREUNA,2018-10,26.04,20.08,36.98,16.9,6.1,72.6
520013,ACREUNA,2018-11,24.19,19.17,32.07,12.9,8.5,83.7
520013,ACREUNA,2018-12,24.74,18.49,32.36,13.87,5.1,79.8
520013,ACREUNA,2018-13,24.33,6.62,38.77,32.15,3.5,67.6
520013,ACREUNA,2019-01,25.23,18.42,33.08,14.66,4.5,76.8
520013,ACREUNA,2019-02,24.88,19.91,34.44,14.53,7.7,81.6
520013,ACREUNA,2019-03,24.34,18.68,30.13,11.45,5.6,84.2
520013,ACREUNA,2019-04,24.31,17.52,30.52,13.0,3.7,81.2
520013,ACREUNA,2019-05,23.37,12.96,32.46,19.5,0.8,72.0
520013,ACREUNA,2019-06,22.08,10.83,33.04,22.21,0.0,59.2
520013,ACREUNA,2019-07,22.4,6.19,33.56,27.37,0.0,45.0
520013,ACREUNA,2019-08,26.01,14.34,37.62,23.28,0.0,39.9
520013,ACREUNA,2019-09,29.64,18.02,40.43,22.41,0.7,34.4
520013,ACREUNA,2019-10,28.04,20.25,39.65,19.4,3.8,57.7
520013,ACREUNA,2019-11,26.24,19.7,35.18,15.48,7.5,71.7
520013,ACREUNA,2019-12,25.16,19.56,31.67,12.11,7.3,81.2
520013,ACREUNA,2019-13,25.14,6.19,40.43,34.24,3.4,65.3
520013,ACREUNA,2020-01,25.44,20.21,31.94,11.73,8.5,82.1
520013,ACREUNA,2020-02,24.54,19.33,30.71,11.38,9.0,85.2
520013,ACREUNA,2020-03,24.07,16.53,31.14,14.61,3.0,82.6
520013,ACREUNA,2020-04,23.75,14.58,30.75,16.17,1.9,79.4
520013,ACREUNA,2020-05,21.14,9.21,31.23,22.02,0.7,68.4
520013,ACREUNA,2020-06,23.18,12.17,32.9,20.73,0.1,58.3
520013,ACREUNA,2020-07,23.72,13.49,33.55,20.06,0.0,44.7
520013,ACREUNA,2020-08,24.87,11.91,37.6,25.69,0.0,38.0
520013,ACREUNA,2020-09,29.03,17.52,41.93,24.41,0.4,32.9
520013,ACREUNA,2020-10,29.51,21.1,43.11,22.01,2.6,49.7
520013,ACREUNA,2020-11,26.65,16.04,37.85,21.81,2.5,60.1
520013,ACREUNA,2020-12,26.68,18.41,38.71,20.3,4.7,68.8
520013,ACREUNA,2020-13,25.21,9.21,43.11,33.9,2.8,62.4
520013,ACREUNA,2021-01,26.17,17.82,35.76,17.94,3.7,69.9
520013,ACREUNA,2021-02,25.6,19.31,35.92,16.61,7.2,74.9
520013,ACREUNA,2021-03,24.13,17.43,33.69,16.26,3.6,77.0
520013,ACREUNA,2021-04,23.97,13.46,33.27,19.81,1.2,62.5
520013,ACREUNA,2021-05,23.61,13.78,33.86,20.08,0.9,55.9
520013,ACREUNA,2021-06,22.66,7.34,33.53,26.19,0.3,52.3
520013,ACREUNA,2021-07,20.93,5.6,33.94,28.34,0.0,36.4
520013,ACREUNA,2021-08,25.46,13.77,37.58,23.81,0.1,33.6
520013,ACREUNA,2021-09,29.64,16.81,41.13,24.32,0.7,31.5
520013,ACREUNA,2021-10,26.93,17.74,38.06,20.32,7.5,66.5
520013,ACREUNA,2021-11,24.7,18.38,31.29,12.91,8.2,81.1
