cod_mun,ano_mes,pct_territorio_queimado
520880,2017-01,0.9143
520880,2018-01,0.594
520880,2020-01,0.799
520880,2021-01,0.9867
520880,2022-01,0.4113
520880,2023-01,0.2896
520880,2024-01,0.9547
520880,2025-01,
520890,2017-01,2.0455
520890,2018-01,0.4092
520890,2020-01,0.7958
520890,2021-01,0.3255
520890,2022-01,0.2831
520890,2023-01,0.1044
520890,2024-01,0.9402
520890,2025-01,
520910,2017-01,0.5827
520910,2018-01,0.4652
520910,2020-01,0.2521
520910,2021-01,0.2219
520910,2022-01,0.3014
520910,2023-01,0.4255
520910,2024-01,1.126
520910,2025-01,
520915,2017-01,2.2565
520915,2018-01,0.415
520915,2020-01,1.2669
520915,2021-01,1.805
520915,2022-01,1.0996
520915,2023-01,0.1192
520915,2024-01,7.9078
520915,2025-01,
520920,2017-01,0.0982
520920,2018-01,0.0805
520920,2020-01,0.5491
520920,2021-01,0.0
520920,2022-01,0.1362
520920,2023-01,0.0488
520920,2024-01,0.1822
520920,2025-01,
520929,2017-01,0.0438
520929,2018-01,0.6739
520929,2020-01,0.0
520929,2021-01,0.0
520929,2022-01,0.3376
520929,2023-01,0.0
520929,2024-01,0.0
520929,2025-01,
520940,2017-01,0.7417
520940,2018-01,2.3322
520940,2020-01,1.1923
520940,2021-01,0.7509
520940,2022-01,1.0114
520940,2023-01,1.0251
520940,2024-01,0.3154
520940,2025-01,
520945,2017-01,0.0235
520945,2018-01,0.0278
520945,2020-01,0.4332
520945,2021-01,0.2358
520945,2022-01,0.4556
520945,2023-01,0.0108
520945,2024-01,0.0511
520945,2025-01,
520960,2017-01,0.4106
520960,2018-01,0.5701
520960,2020-01,1.0169
520960,2021-01,0.3417
520960,2022-01,0.1846
520960,2023-01,1.0283
520960,2024-01,1.0992
520960,2025-01,
520970,2017-01,0.1637
520970,2018-01,0.2355
520970,2020-01,0.7295
520970,2021-01,0.0776
520970,2022-01,0.2108
520970,2023-01,0.045
520970,2024-01,0.1816
520970,2025-01,
520980,2017-01,0.5127
520980,2018-01,0.3002
520980,2020-01,0.4096
520980,2021-01,0.1645
520980,2022-01,0.3046
520980,2023-01,0.526
520980,2024-01,1.2267
520980,2025-01,
520990,2017-01,0.0791
520990,2018-01,0.171
520990,2020-01,0.0963
520990,2021-01,0.1896
520990,2022-01,0.1267
520990,2023-01,0.1486
520990,2024-01,0.2462
520990,2025-01,
520993,2017-01,0.5256
520993,2018-01,0.7934
520993,2020-01,2.0956
520993,2021-01,1.721
520993,2022-01,1.7233
520993,2023-01,0.6058
520993,2024-01,1.1515
520993,2025-01,
520995,2017-01,0.9193
520995,2018-01,0.2269
520995,2020-01,0.3701
520995,2021-01,0.2915
520995,2022-01,0.1391
520995,2023-01,0.3218
520995,2024-01,0.2872
520995,2025-01,
521000,2017-01,0.7235
521000,2018-01,0.7348
