cod_mun;Município;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
521940;SANTA RITA DO ARAGUAIA;91,46;84,15;134,15;120,62;140;90,29;73,96;92,71;98,95;67,62;55,24;53,4;42,86
521945;SANTA RITA DO NOVO DESTINO;100;58,06;58,06;96,3;225;118,52;143,75;181,25;163,64;76,67;40;94,44;111,76
521950;SANTA ROSA DE GOIAS;97,67;60,47;76,74;97,22;173,33;86,21;57,14;114,29;89,19;151,28;100;125;73,68
521960;SANTA TEREZA DE GOIAS;94,74;73,68;110,53;90,91;120,45;104,35;83,67;81,63;89,29;160,61;136,36;123,68;67,31
521970;SANTA TEREZINHA DE GOIAS;84,96;82,3;86,73;126,67;46,15;95,95;89,36;73,05;68,18;85,82;80,6;87,7;78,33
521971;SANTO ANTONIO DA BARRA;65,31;108,16;100;233,96;122;130,43;110,42;120,83;106,25;102,17;110,87;126,67;106,38
521973;SANTO ANTONIO DE GOIAS;97,01;122,39;141,79;83,15;110,64;70,33;108,49;50;93,33;115,31;91,84;133,77;91,67
521975;SANTO ANTONIO DO DESCOBERTO;152,78;151,77;144,82;157,41;167,47;85,38;93,06;80,9;87,94;101,01;79,18;45,42;79,56
521980;SAO DOMINGOS;114,48;115,86;133,79;139,19;95,45;70,95;109,91;108,11;90,76;100;88,1;84,96;54,47
521990;SAO FRANCISCO DE GOIAS;105,88;92,65;75;167,27;232,2;107,59;103,95;140,79;95,51;83,12;96,1;89,55;116,39
522000;SAO JOAO D\'ALIANCA;146,43;111,61;124,11;129,91;86,05;95,93;150,89;113,39;119,38;112,5;131,25;130,26;110,44
522005;SAO JOAO DA PARAUNA;126,32;94,74;84,21;115;140;208,33;85,71;85,71;115;83,33;72,22;164,29;65,38
522010;SAO LUIS DE MONTES BELOS;102,03;108,61;90,13;125,6;112,67;62,13;83,38;100,54;97,26;84,75;82,06;86,12;86,35
522015;SAO LUIZ DO NORTE;88,75;103,75;98,75;192,06;152,05;94,52;88,73;67,61;92,98;90;68,33;63,24;151,92
522020;SAO MIGUEL DO ARAGUAIA;111,03;78,65;104,98;95,45;96,54;85,44;83,59;86,02;78,59;79,94;78,03;69,43;64,9
522026;SAO MIGUEL DO PASSA QUATRO;100;100;90,74;155,56;162,5;145,16;111,11;75;96,97;146,43;160,71;80,65;135,48
522028;SAO PATRICIO;100;181,25;131,25;100;233,33;180;136;116;78,57;66,67;66,67;90;161,11
522040;SAO SIMAO;88,99;109,63;126,15;154,55;76,23;125,11;87,86;78,57;82,13;78,37;67,38;67,51;82,91
522045;SENADOR CANEDO;116,48;110,08;110,38;131,14;106,91;97,83;95,3;79,8;73,95;78,52;69,67;64,3;85,43
522050;SERRANOPOLIS;137,8;112,2;115,85;170,93;139,19;163,75;107,87;112,36;137,35;112,35;161,73;101,08;82,86
522060;SILVANIA;91,51;81,85;89,96;119,77;108,56;77,14;66,53;100,41;66,91;94,07;82,63;80,42;69,83
522068;SIMOLANDIA;136,26;104,4;104,4;105,61;71,43;73,87;75,27;83,87;124,62;108,33;56,94;43,88;93,42
522070;SITIO D\'ABADIA;87,1;64,52;77,42;542,86;96,3;43,48;95,45;118,18;123,53;121,05;168,42;71,43;84
