cod_mun;Município;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
520915;GOUVELANDIA;125,58;98,18;64,62;130;64,29;141,46;77,08;93,75;3,85;45,65
520920;GUAPO;59,89;165,43;65,34;75,13;79,79;56,65;68,1;98,1;38,67;28,77
520929;GUARAITA;78,79;61,54;80;144,44;122,22;72,73;104,35;139,13;121,43;16
520940;GUARANI DE GOIAS;85,29;106,25;180,65;138,46;92,31;112,9;140;110;21,43;41,67
520945;GUARINOS;144,44;166,67;108,7;142,31;119,23;71,88;127,78;161,11;141,67;150
520960;HEITORAI;23,33;24,24;40,43;72,22;94,44;79,31;258,33;91,67;18;24,32
520970;HIDROLANDIA;36,62;37,34;37,68;81,99;71,06;90,91;109,67;81;46,71;44,24
520980;HIDROLINA;45,45;131,43;90;110,26;84,62;75;69,23;59,62;51,35;83,33
520990;IACIARA;27,91;71,35;66,83;89,3;89,3;70,7;78,62;74,84;102,44;65,14
520993;INACIOLANDIA;28,4;105,95;67,86;85,9;87,18;94,12;120,69;98,28;33,33;14,93
520995;INDIARA;71,76;135,68;21,03;64,8;60,4;51,5;82,21;75,48;33,76;32,65
521000;INHUMAS;19,04;103,74;32,1;54,49;42,23;84,63;93,81;74,37;60,45;74,33
521010;IPAMERI;71;115,87;127,92;93,31;85,99;66,57;71,35;75,64;75,24;69,9
521015;IPIRANGA DE GOIAS;48;108;89,47;110,34;117,24;83,87;91,3;39,13;51,52;240,74
521020;IPORA;113,76;57,11;68,48;102,23;90,82;87,76;73,42;65,09;25,11;37,45
521030;ISRAELANDIA;172;88,46;90,91;140;100;113,64;61,54;65,38;50;83,33
521040;ITABERAI;23,42;73,82;42,21;100,38;70,8;95,3;78,74;77,21;33,51;59,79
521056;ITAGUARI;35,19;145,45;113,79;167,35;110,2;120,34;81,08;67,57;75,41;128
521060;ITAGUARU;161,11;58,7;64,29;113,46;84,62;65,91;113,33;108,89;30,77;54,72
521080;ITAJA;63,29;46,05;57,5;101,52;66,67;82,35;146,15;123,08;106;103,7
521090;ITAPACI;127,65;125,75;42,47;84,95;76,49;90,11;84,49;62,03;50,52;51,99
521100;ITAPIRAPUA;20,79;113,4;12,5;53,49;115,12;91,67;71,43;22,69;40;10,13
521120;ITAPURANGA;36,28;76,67;66,78;121,49;69,85;66,67;81,07;59,17;42,9;55,37
521130;ITARUMA;118,46;84,81;83,54;70,48;60,95;55,79;117,86;135,71;56,12;66,29
521140;ITAUCU;126,32;169,12;83,33;130,12;78,31;109,72;90,79;75;35,35;66,67
521150;ITUMBIARA;60,06;183,45;23,24;42,69;65,7;74,93;84,64;90,15;59,5;38,53
521160;IVOLANDIA;158,62;53,85;60;88;112;44,44;133,33;106,67;14,29;19,05
521170;JANDAIA;128,36;54,17;35,29;123,44;100;78,08;86,49;78,38;98,61;95,24
521180;JARAGUA;22;75,95;49,38;80,77;68,64;74,61;78,14;67,99;44,56;57,44
521190;JATAI;62,07;101,9;64,8;85,7;75,27;80,27;79,13;63,4;36,05;39,66
521200;JAUPACI;180,65;159,52;66,67;80;54,29;92;100;88,24;88,1;88,89
521205;JESUPOLIS;57,58;72,97;66,67;141,67;87,5;107,69;163,64;90,91;44;57,89
521210;JOVIANIA;42,86;71,26;87,95;85,37;43,9;58,82;62,75;52,94;22,35;2,94
521220;JUSSARA;63,22;26,74;57,6;73,43;85,24;72,9;90,55;66,18;42,75;10,59
521225;LAGOA SANTA;36,84;47,62;120;122,22;77,78;95;80;60;80;145,45
521230;LEOPOLDO DE BULHOES;56,34;37,89;101,41;63,37;35,64;86,41;88,42;97,89;24,3;41,3
521250;LUZIANIA;82,87;115,35;51,7;68,84;69,53;66,59;70,93;66,11;34,27;50,43
521260;MAIRIPOTABA;200;81,82;92,59;164;100;127,27;83,33;66,67;95,24;53,57
521270;MAMBAI;24,72;126,13;84,92;121,24;98,23;92,92;88,62;102,44;68,67;33,06
521280;MARA ROSA;33,33;136,15;125;77,69;61,54;61,61;79,2;64,8;3,51;16,54
521290;MARZAGAO;50;85,29;87,5;133,33;136,67;85,29;89,47;42,11;28,12;24,39
521295;MATRINCHA;20,34;164,71;51,72;81,25;131,25;90,7;104,44;80;133,33;77,42
