cod_mun;Município;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
521375;MONTIVIDIU;121,79;121,15;118,59;121,48;115,61;99,38;89,29;96,94;114,53;86,83;68,26;85,64;114,38
521377;MONTIVIDIU DO NORTE;88,24;117,65;105,88;86,36;158,06;82,93;96,77;151,61;102,63;97,3;70,27;60;71,15
521380;MORRINHOS;89,1;97,13;94,26;105,3;100;91,45;92,13;91,36;101,76;72,2;93,84;83,9;87,88
521385;MORRO AGUDO DE GOIAS;104,55;150;118,18;157,14;180,56;113,33;108,33;116,67;88,89;133,33;157,14;100;71,88
521390;MOSSAMEDES;94,87;102,56;123,08;146,43;75;132,56;108,89;91,11;100;76,09;108,7;127,91;77,08
521400;MOZARLANDIA;100,49;94,15;105,37;124,77;79,91;101,57;111,4;100;94,92;43,38;46,12;48,52;83,27
521405;MUNDO NOVO;82,5;91,25;56,25;118,84;92,96;131,08;105,48;104,11;112,33;98,68;113,16;83,87;92,54
521410;MUTUNOPOLIS;91,3;73,91;97,83;86,54;38;67,86;74,07;85,19;81,82;93,48;136,96;86,11;94,12
521440;NAZARIO;117,44;98,84;94,19;140,85;112,5;74,53;95,79;95,79;77,17;64,95;22,68;117,65;98,94
521450;NEROPOLIS;101,71;125,71;111,14;134,35;113,25;102,56;103,29;103,07;93,62;51,08;84,02;68,45;86,48
521460;NIQUELANDIA;137,08;113;90,65;77,85;61,05;69,96;69,5;69,88;81,69;61,39;76,79;86,36;76,44
521470;NOVA AMERICA;71,43;121,43;150;250;236;93,94;107,41;111,11;165;144,44;162,96;127,59;57,14
521480;NOVA AURORA;110;110;130;87,5;120;79,17;141,18;135,29;91,67;48;36;108,33;228,57
521483;NOVA CRIXAS;95,85;74,61;78,76;87,93;106,67;84,88;126,92;85,26;85,89;72,56;84,76;82,95;94,94
521486;NOVA GLORIA;116,09;114,94;88,51;139,76;111,49;98,86;107,53;88,17;72,45;82,22;73,33;59,21;70,27
521487;NOVA IGUACU DE GOIAS;124,24;106,06;133,33;106,25;131,03;168,97;113,51;102,7;87,18;115,38;169,23;272,22;121,88
521490;NOVA ROMA;97,37;121,05;65,79;96,97;74,19;100;193,33;113,33;50;89,19;91,89;111,11;106,45
521500;NOVA VENEZA;91,11;125,56;81,11;122,11;82,14;110,47;80,58;106,8;86,6;92,86;88,39;137,21;87,63
521520;NOVO BRASIL;93,33;106,67;100;150;91,67;109,68;95,92;87,76;80,77;93,33;113,33;63,83;93,33
521523;NOVO GAMA;109,72;111,06;88,47;91,7;96,4;72,85;66,98;67,85;84,11;66,44;72,62;72,58;77,13
521525;NOVO PLANALTO;168,42;71,93;94,74;143,18;87,23;61,54;69,7;45,45;153,12;60,66;29,51;97,3;125,58
521530;ORIZONA;108,33;102,56;110,9;157,45;85,45;128,1;96,49;76,61;66,67;60,29;74,02;96,39;66,97
521540;OURO VERDE DE GOIAS;113,33;183,33;150;182,05;86,36;86;98,33;86,67;172,97;66,67;117,65;73,21;76,6
521550;OUVIDOR;106,25;109,38;84,38;101,79;122,92;110,29;100;86,76;83,56;100;98,67;101,19;82,61
521560;PADRE BERNARDO;97,55;105,15;79,41;128,22;79,07;83,42;80,13;78,12;79,77;59,05;57,11;50,12;75,79
521565;PALESTINA DE GOIAS;71,79;161,54;102,56;59,26;97,06;124,39;81,82;79,55;107,69;41,51;56,6;97,5;100
521570;PALMEIRAS DE GOIAS;111,72;87,18;93,04;142,32;117,88;28,75;88,2;62,2;71,61;77,48;44,06;70,7;71,88
521580;PALMELO;81,82;113,64;68,18;112,5;100;100;153,85;230,77;110;115;140;57,14;115
521590;PALMINOPOLIS;117,24;117,24;103,45;257,14;100;112,2;104,55;109,09;134,88;81,4;134,88;97,92;71,43
521600;PANAMA;93,94;84,85;112,12;59,38;127,27;161,9;82,5;65;96,55;107,69;115,38;177,78;86,67
521630;PARANAIGUARA;117,43;116,51;123,85;102,38;86,03;87,83;97,58;80,65;78,18;91,35;88,46;91,4;86,75
521640;PARAUNA;116,43;107,86;94,29;89,61;90,34;118,94;99,32;111,64;95,24;78,79;81,21;94,74;87,12
521645;PEROLANDIA;132,43;116,22;124,32;91,49;68,09;116,28;69,57;113,04;102,7;68,75;62,5;104,44;63,04
521680;PETROLINA DE GOIAS;107,95;111,36;100;161,9;86,46;114,61;91,76;110,59;90,12;79,49;97,44;79,22;94,87
521690;PILAR DE GOIAS;108,33;141,67;83,33;64,52;133,33;112;78,95;134,21;69,44;50;123,68;64,71;67,5
521710;PIRACANJUBA;94,57;95,65;75,72;114,39;108,29;92,19;113,66;103,08;109,39;79,18;120,82;90,21;91,1
521720;PIRANHAS;95,61;127,19;100;90,77;83,78;125,44;88,97;90,44;79,85;79,2;87,2;121,3;102,36
521730;PIRENOPOLIS;84,66;96,17;78,27;94,43;83,33;98,51;93,84;79,35;95,34;74,02;72,6;56,03;87
521740;PIRES DO RIO;89,51;109,57;110,49;97,7;82,34;106,36;108,73;98,31;104,62;84,1;81,96;102,42;100,91
521760;PLANALTINA;102,93;109,43;109,64;99,45;100,65;112,75;107,35;81,78;74,72;45,3;46,6;78,46;79,83
521770;PONTALINA;103,03;110,3;79,39;98,37;82,45;75,12;66,67;91,18;96,57;66,18;97,1;109,04;104,4
521800;PORANGATU;84,56;86,21;80,21;98,56;52,85;72,01;77,41;65,14;82,07;87,28;78,98;66,09;69,94
521805;PORTEIRAO;96,23;101,89;71,7;180,56;183,33;169,77;178,95;131,58;137,5;115,09;62,26;104,08;119,51
521810;PORTELANDIA;67,06;54,12;56,47;152,46;80,39;58,11;56,92;56,92;92,16;108,11;83,78;42,55;102,7
521830;POSSE;78,84;82,19;69,84;87,09;92,16;74,15;58,26;63,3;87,88;61,6;62,71;59,8;78,68
521839;PROFESSOR JAMIL;140,91;209,09;90,91;133,33;66,67;115,62;157,14;157,14;123,08;72,09;34,88;34,78;154,17
521850;QUIRINOPOLIS;145,88;141,49;134,54;138,35;77,15;91,12;91,74;76,07;87,44;80,16;91,47;67,68;66,52
521860;RIALMA;74,83;93,01;83,22;77,24;88,64;91,27;101,33;74;82,61;81,65;87,34;91,3;61,45
521870;RIANAPOLIS;104,48;85,07;82,09;93,06;117,54;108,96;114,93;80,6;83,87;139,29;98,21;61,11;83,33
521878;RIO QUENTE;114,29;131,43;151,43;98,11;74,47;102,33;156,82;136,36;154,9;70,69;112,07;103,92;108,7
521880;RIO VERDE;94,97;99,47;99,19;99,17;88,62;93,45;85,88;75,02;87;78,46;83,71;81,79;87,48
521890;RUBIATABA;103,15;104,05;96,4;132,95;91,86;91,36;100,45;89,59;83,46;88,89;70,09;72,05;88,19
521900;SANCLERLANDIA;94,12;94,12;87,06;95,45;101,47;76,19;148,72;83,33;91,67;67,71;100;95,45;87,78
521910;SANTA BARBARA DE GOIAS;110,67;100;110,67;152,94;84,34;110,99;77,19;98,25;92,31;82,8;76,34;53,76;88,24
521920;SANTA CRUZ DE GOIAS;131,82;81,82;113,64;84,62;81,48;117,24;69,23;146,15;126,92;65,71;105,71;89,29;66,67
521925;SANTA FE DE GOIAS;106,45;120,97;98,39;142,42;64,94;85,25;111,25;108,75;140,91;63,41;62,2;66,27;105,56
521930;SANTA HELENA DE GOIAS;100,81;93,51;85,4;109,55;98,77;109,07;90,64;81,46;81;67,99;83,36;81,58;78,06
521935;SANTA ISABEL;126,67;130;130;114,29;122,22;109,38;131,25;87,5;100;108,57;142,86;81,4;128,57
521940;SANTA RITA DO ARAGUAIA;96,34;93,9;115,85;140,21;140;73,79;83,33;85,42;81,05;63,81;56,19;46,6;48,35
521945;SANTA RITA DO NOVO DESTINO;96,77;87,1;74,19;66,67;175;96,3;187,5;162,5;122,73;83,33;46,67;77,78;111,76
521950;SANTA ROSA DE GOIAS;86,05;69,77;67,44;75;76,67;117,24;67,86;100;105,41;105,13;94,87;132,14;97,37
521960;SANTA TEREZA DE GOIAS;92,98;75,44;61,4;94,55;143,18;141,3;65,31;77,55;164,29;112,12;157,58;102,63;65,38
521970;SANTA TEREZINHA DE GOIAS;102,65;126,55;116,81;118,1;62,94;83,78;87,23;68,79;82,47;55,22;90,3;82,79;70,83
521971;SANTO ANTONIO DA BARRA;95,92;122,45;104,08;152,83;104;136,96;122,92;112,5;118,75;106,52;113,04;108,89;104,26
521973;SANTO ANTONIO DE GOIAS;126,87;111,94;134,33;126,97;96,81;97,8;82,08;93,4;120;92,86;77,55;164,94;88,1
521975;SANTO ANTONIO DO DESCOBERTO;150,38;145,2;113,26;120,95;97,29;79,73;86,63;81,34;96,8;78,17;62,17;50,21;76,31
521980;SAO DOMINGOS;114,48;110,34;66,21;124,32;62,73;72,97;99,1;116,22;106,72;55,56;112,7;79,65;56,91
521990;SAO FRANCISCO DE GOIAS;123,53;92,65;98,53;212,73;169,49;87,34;117,11;134,21;93,26;66,23;116,88;77,61;119,67
522000;SAO JOAO D\'ALIANCA;122,32;137,5;117,86;147,66;87,6;112,2;146,43;120,54;137,98;113,19;120,83;126,97;110,99
522005;SAO JOAO DA PARAUNA;131,58;121,05;68,42;80;213,33;208,33;95,24;100;85;94,44;105,56;121,43;73,08
522010;SAO LUIS DE MONTES BELOS;94,43;90,13;80;97,89;82,92;65,87;96,46;91,01;92,52;74,22;85,87;94,26;93,88
522015;SAO LUIZ DO NORTE;75;115;95;155,56;87,67;90,41;88,73;81,69;80,7;71,67;83,33;66,18;140,38
