cod_mun;Município;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
521000;INHUMAS;23,53;92,46;92,91;87,53;105,4;59,76;62,2;71,47;89,89;101,77;86,75;89,55;73,22
521010;IPAMERI;13,56;94,95;87,38;93,67;104,06;105,19;100,64;91,08;96,48;87,68;91,12;95,18;91,26
521015;IPIRANGA DE GOIAS;15,15;127,27;103,03;132;92;210,53;148,28;68,97;74,19;104,35;91,3;30,3;292,59
521020;IPORA;23,4;110,31;100;159,33;73,1;94,83;104,71;111,91;83,06;91,67;92,79;89,96;82,51
521030;ISRAELANDIA;17,39;126,09;95,65;128;96,15;131,82;112;112;90,91;65,38;80,77;53,57;77,78
521040;ITABERAI;6,77;87,81;79,01;73,79;72,32;81,88;111,64;112,4;108,32;97,96;76,7;102,58;112,89
521056;ITAGUARI;0;135,71;101,79;166,67;145,45;151,72;195,92;175,51;94,92;82,43;52,7;91,8;104
521060;ITAGUARU;33,33;135,42;127,08;208,33;82,61;128,57;119,23;88,46;113,64;86,67;142,22;79,49;73,58
521080;ITAJA;37,5;162,5;170;77,22;81,58;67,5;92,42;69,7;111,76;148,72;120,51;120;98,15
521090;ITAPACI;8,65;87,18;85,9;153,03;107,46;81,61;83,07;87,15;112,17;82,91;70,89;74,22;67,55
521100;ITAPIRAPUA;3,12;79,17;93,75;110,89;87,63;96,59;72,09;131,4;60,83;57,14;31,93;81,43;72,15
521120;ITAPURANGA;14,86;116,72;89,78;81,7;87,67;98,37;90,45;100,6;90,68;92,01;65,68;86,14;79,15
521130;ITARUMA;17,71;71,88;66,67;115,38;102,53;112,66;80;60;76,84;157,14;142,86;82,65;61,8
521140;ITAUCU;9,21;71,05;102,63;151,32;225;127,78;124,1;113,25;108,33;117,11;100;88,89;90,48
521150;ITUMBIARA;9,14;101,77;92,63;101,01;93,48;50,48;68,12;82,33;95,66;86,23;77,27;77,46;67,41
521160;IVOLANDIA;13,04;121,74;126,09;120,69;53,85;100;92;72;77,78;100;220;104,76;123,81
521170;JANDAIA;26,58;108,86;67,09;150,75;79,17;110,29;123,44;117,19;87,67;91,89;87,84;91,67;85,71
521180;JARAGUA;6,76;88,01;102,03;96,28;85,17;71,96;83,43;83,28;92,64;88,3;70,74;75,79;75,19
521190;JATAI;21,79;100,3;95,78;108,85;107,3;94,08;99,67;94,99;98,5;93,67;85,67;86,46;94,07
521200;JAUPACI;14,29;204,76;157,14;141,94;80,95;108,33;97,14;85,71;128;94,12;105,88;97,62;80,56
521205;JESUPOLIS;6,06;106,06;124,24;93,94;59,46;83,33;100;95,83;146,15;172,73;136,36;72;142,11
521210;JOVIANIA;18,75;89,58;93,75;89,8;86,21;100;82,93;102,44;110,29;74,51;88,24;80;76,47
521220;JUSSARA;31,47;110,78;109,48;115,29;53,85;95,6;95,2;98,15;104,58;82,91;73,09;80,78;86,44
