cod_mun;Município;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
521205;JESUPOLIS;21,21;72,97;46,67;141,67;54,17;88,46;154,55;63,64;20;15,79
521210;JOVIANIA;32,65;62,07;72,29;85,37;36,59;48,53;44,12;33,33;3,53;1,96
521220;JUSSARA;11,57;10,99;38,8;73,43;76,75;48,09;82,18;45,45;5,49;9,75
521225;LAGOA SANTA;31,58;33,33;93,33;122,22;77,78;65;73,33;33,33;60;54,55
521230;LEOPOLDO DE BULHOES;56,34;15,79;81,69;63,37;20,79;61,17;72,63;95,79;20,56;27,17
521250;LUZIANIA;28,23;110,32;47,16;69;57,88;56,19;58,14;54,88;5,6;24,52
521260;MAIRIPOTABA;76,92;36,36;66,67;164;68;90,91;76,67;63,33;28,57;25
521270;MAMBAI;24,72;126,13;84,92;123,89;90,27;79,65;82,93;54,47;0,67;19,35
521280;MARA ROSA;15,6;110;82,03;76,15;60;59,82;79,2;64,8;2,92;14,96
521290;MARZAGAO;50;47,06;53,12;133,33;93,33;73,53;55,26;42,11;25;24,39
521295;MATRINCHA;11,86;84,31;29,31;83,33;122,92;53,49;82,22;68,89;25,49;9,68
521300;MAURILANDIA;32,96;32,71;34,39;70,71;39,39;39,22;61,74;71,81;4,88;3,64
521305;MIMOSO DE GOIAS;94,44;60;86,67;140;105;100;117,65;105,88;0;27,78
521308;MINACU;29,78;101,12;50,34;72,38;68,37;41,24;49,88;42,46;3,94;26,76
521310;MINEIROS;21,58;49,19;47,18;85,6;48,48;47,97;58,3;52,35;0,36;14,66
521340;MOIPORA;100;15,38;112,5;150;131,25;35;100;200;37,5;18,75
521350;MONTE ALEGRE DE GOIAS;16,67;50,94;31,62;85,48;58,06;32,17;75,82;81,32;20,2;0
521370;MONTES CLAROS DE GOIAS;39,29;62,11;44,57;125,26;84,21;80,49;77,39;72,17;9,47;23,86
521375;MONTIVIDIU;24,16;31,79;85,19;94,39;59,69;57,54;81,44;44,91;9,57;26,8
521377;MONTIVIDIU DO NORTE;20,45;100;82,93;132,26;83,87;50;62,16;40,54;14;23,08
521380;MORRINHOS;36,74;39,2;49,67;94,91;68,06;59,61;80,25;65,56;7,36;12,92
521385;MORRO AGUDO DE GOIAS;45,71;177,78;50;125;91,67;62,96;100;104,76;31,82;15,62
521390;MOSSAMEDES;25;79,55;44,19;146,67;82,22;57,63;80,43;21,74;11,63;20,83
521400;MOZARLANDIA;45,33;72,43;54,97;112,95;97,93;80,79;72,15;38,36;1,48;11,84
521405;MUNDO NOVO;23,19;67,61;36,49;163,01;93,15;86,3;96,05;101,32;4,3;32,84
521410;MUTUNOPOLIS;13,46;42;53,57;61,11;68,52;51,52;93,48;67,39;30,56;31,37
521440;NAZARIO;38,03;143,75;18,87;78,95;55,79;54,35;70,1;25,77;22,35;25,53
521450;NEROPOLIS;39,06;168,25;52,82;99,56;65,13;61,11;80,28;69,82;4,94;25,11
