cod_mun;Município;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
521805;PORTEIRAO;26,42;180,56;183,33;169,77;178,95;118,42;118,75;90,57;66,04;106,12;119,51
521810;PORTELANDIA;27,06;152,46;80,39;58,11;56,92;40;66,67;94,59;81,08;42,55;102,7
521830;POSSE;24,34;87,09;92,16;74,15;58,26;63,3;87,16;63,08;64,94;60,13;78,68
521839;PROFESSOR JAMIL;13,64;133,33;66,67;115,62;157,14;153,57;111,54;58,14;37,21;34,78;154,17
521850;QUIRINOPOLIS;41,75;136,02;77;91,12;91,74;74,5;88,54;85,27;93,02;68,25;66,52
521860;RIALMA;28,67;77,24;88,64;91,27;101,33;70,67;80,75;77,85;87,34;92,03;61,45
521870;RIANAPOLIS;29,85;93,06;117,54;108,96;114,93;73,13;82,26;130,36;98,21;61,11;83,33
521878;RIO QUENTE;77,14;96,23;74,47;102,33;156,82;120,45;137,25;63,79;115,52;105,88;108,7
521880;RIO VERDE;38,16;98,91;88,17;93,21;85,77;77,77;87,38;75,82;82,02;79,55;87,48
521890;RUBIATABA;51,35;132,95;91,86;91,36;100,45;89,59;81,15;88,89;71,37;72,05;88,19
521900;SANCLERLANDIA;28,24;95,45;101,47;76,19;148,72;91,03;97,62;72,92;103,12;98,86;87,78
521910;SANTA BARBARA DE GOIAS;57,33;152,94;84,34;110,99;77,19;90,35;86,54;76,34;77,42;53,76;88,24
521920;SANTA CRUZ DE GOIAS;40,91;84,62;81,48;113,79;69,23;153,85;146,15;65,71;105,71;89,29;66,67
521925;SANTA FE DE GOIAS;51,61;142,42;64,94;85,25;111,25;100;127,27;56,1;68,29;67,47;105,56
521930;SANTA HELENA DE GOIAS;36,31;109,34;98,77;109,07;90,64;80,07;82,1;73,42;85,53;84,96;78,06
521935;SANTA ISABEL;46,67;114,29;122,22;109,38;131,25;78,12;80,49;102,86;148,57;81,4;128,57
521940;SANTA RITA DO ARAGUAIA;36,59;140,21;140;73,79;83,33;87,5;81,05;61,9;57,14;46,6;48,35
521945;SANTA RITA DO NOVO DESTINO;12,9;66,67;175;96,3;187,5;175;136,36;70;36,67;77,78;111,76
521950;SANTA ROSA DE GOIAS;16,28;75;76,67;117,24;67,86;103,57;124,32;110,26;97,44;132,14;97,37
521960;SANTA TEREZA DE GOIAS;5,26;94,55;143,18;141,3;65,31;71,43;164,29;93,94;166,67;105,26;65,38
521970;SANTA TEREZINHA DE GOIAS;62,83;118,1;62,94;83,78;87,23;65,96;82,47;50,75;91,79;82,79;70,83
521971;SANTO ANTONIO DA BARRA;53,06;152,83;104;136,96;122,92;110,42;91,67;84,78;117,39;111,11;104,26
521973;SANTO ANTONIO DE GOIAS;50,75;126,97;96,81;97,8;82,08;86,79;104;87,76;80,61;170,13;88,1
521975;SANTO ANTONIO DO DESCOBERTO;46,21;120,83;97,29;79,73;86,63;83,25;93,03;61,17;61,07;50,52;76,31
521980;SAO DOMINGOS;35,17;124,32;62,73;72,97;99,1;113,51;108,4;56,35;111,11;79,65;56,91
521990;SAO FRANCISCO DE GOIAS;35,29;212,73;169,49;87,34;117,11;126,32;82,02;57,14;115,58;77,61;119,67
522000;SAO JOAO D\'ALIANCA;33,93;147,66;87,6;112,2;146,43;109,82;117,05;98,61;122,92;127,63;110,99
522005;SAO JOAO DA PARAUNA;10,53;80;213,33;208,33;95,24;85,71;65;83,33;105,56;121,43;73,08
522010;SAO LUIS DE MONTES BELOS;38,23;97,89;82,92;65,87;96,46;92,37;89,03;72,87;78,48;83,97;93,88
522015;SAO LUIZ DO NORTE;43,75;155,56;87,67;90,41;88,73;80,28;85,96;65;83,33;66,18;140,38
522020;SAO MIGUEL DO ARAGUAIA;13,17;102,42;79,56;78,96;87,84;101,82;80,43;57,96;71,34;62,1;77,81
522026;SAO MIGUEL DO PASSA QUATRO;31,48;186,11;150;177,42;111,11;72,22;127,27;114,29;157,14;132,26;119,35
522028;SAO PATRICIO;0;139,13;186,67;146,67;180;96;64,29;79,17;83,33;135;122,22
522040;SAO SIMAO;66,97;94,7;73,21;96,97;81,43;76,07;79,85;64,54;71,63;58,23;72,86
522045;SENADOR CANEDO;45,3;120,68;87,37;86,75;84,73;72,21;73,05;53,3;66,9;61,04;79,9
522050;SERRANOPOLIS;36,59;148,84;189,19;131,25;107,87;102,25;97,59;83,95;113,58;101,08;75,24
522060;SILVANIA;38,61;91,09;85,6;80,41;64,05;71,07;73,09;68,22;81,36;65,42;64,22
522068;SIMOLANDIA;40,66;88,79;88,1;72,07;84,95;92,47;138,46;83,33;70,83;56,12;80,26
522070;SITIO D\'ABADIA;32,26;300;103,7;95,65;68,18;100;135,29;147,37;136,84;53,57;124
522100;TAQUARAL DE GOIAS;24,24;94,87;56,6;64,86;173,68;115,79;75,56;77,78;183,33;86,67;71,43
522108;TERESINA DE GOIAS;40,43;97,5;81,4;89,19;88,89;175;68,75;58,33;60,42;95,56;121,05
522119;TEREZOPOLIS DE GOIAS;42,11;101,9;110,78;100;124,47;120,21;109,01;60,31;93,89;89,42;104,6
522130;TRES RANCHOS;55,56;88,46;112,12;102,78;81,58;81,58;118,18;57,14;64,29;59,26;105,56
522140;TRINDADE;37,98;110,21;99,36;105,42;103,52;78,41;91,82;77,51;69,82;72,97;71,99
522145;TROMBAS;35,9;138,46;65,22;104,17;52;120;100;44,12;88,24;165,22;95,83
522150;TURVANIA;20;108,62;146,67;93,22;76,27;55,93;78,43;70,91;67,27;139,47;83,33
522155;TURVELANDIA;38,03;94,2;121,54;97,06;81,33;96;106,15;121,05;89,47;125,45;65,71
522157;UIRAPURU;16,67;129,63;180;168,42;75,68;64,86;90;68,18;100;80;83,87
522160;URUACU;12,26;89,97;91,81;78,87;80,27;73,98;86,74;74,49;63,1;78,4;73,21
522170;URUANA;43,06;199,24;173,42;75,34;91,47;109,3;86,86;75,82;40,52;65,13;85,93
522180;URUTAI;31,25;109,68;132;78,79;88,46;73,08;200;109,09;136,36;315,38;100
522185;VALPARAISO DE GOIAS;42,92;101,6;85,76;97,29;97,58;85,75;83,22;58,86;70,96;78,16;89,23
522190;VARJAO;40,62;303,7;120;97,83;95,92;73,47;86,84;63,41;168,29;128,12;117,24
522200;VIANOPOLIS;30,39;100;100;114,63;97,84;93,51;121,89;83,16;97,96;96,43;105,81
522205;VICENTINOPOLIS;43,2;115,38;111,43;121,3;89,06;75,78;114,15;71,82;121,82;73,21;69,06
522220;VILA BOA;56,79;166,15;150,7;112;92,86;88,57;74,58;78,69;98,36;134;137,25
522230;VILA PROPICIO;47,92;108,06;62,3;43,94;74,14;98,28;100;56,06;75,76;52,11;92,45
