municipio,cod_mun,date,y_true,pred_Poisson_GLM,pred_Random_Forest,pred_GradientBoosting,pred_XGBoost
JANDAIA,521170,2024-08-01,0.0,0.030785968698203173,0.07337563509536654,0.008366235978860753,0.000171591
JANDAIA,521170,2024-09-01,0.0,0.008920381474893258,0.03518965046922116,0.014474479854653782,1.355674e-05
JANDAIA,521170,2024-10-01,0.0,0.0466484908287629,0.06495181881103008,0.00434666733507063,6.410661e-06
JANDAIA,521170,2024-11-01,0.0,0.015288411991059824,0.005353232109552752,0.005387267453763806,2.3215573e-06
JANDAIA,521170,2024-12-01,0.0,0.012069273092384755,0.008896472493621332,0.003889379535623255,5.018243e-06
JARAGUA,521180,2024-07-01,0.1076959527860943,0.07861883816472895,0.058308098805482676,0.043490831582101604,0.011680763
JARAGUA,521180,2024-08-01,0.0645939195590388,0.06445763894227383,0.07160595548053089,0.10727589663045863,0.069452174
JARAGUA,521180,2024-09-01,0.0,0.030975268688988745,0.06037299743422011,0.047808288694085245,0.038539123
JARAGUA,521180,2024-10-01,0.1075754641881279,0.10423386353105207,0.051677722482173394,0.01989247342176267,0.022809202
JARAGUA,521180,2024-11-01,0.0,0.03514460901241239,0.019028775190620077,0.012337385434408791,0.0063142837
JARAGUA,521180,2024-12-01,0.1074968288435491,0.032035476600910655,0.027952369717462976,0.032820187972844014,0.032102127
JATAI,521190,2024-07-01,0.0815187855512481,0.14807535315626463,0.13835337596763245,0.07453642798723527,0.06586745
JATAI,521190,2024-08-01,0.0361968020125421,0.14257780621767155,0.23626856090289156,0.2682409200771765,0.14682193
JATAI,521190,2024-09-01,0.0452042781328825,0.05106535045878479,0.09852036098641849,0.08903631052184771,0.12469255
JATAI,521190,2024-10-01,0.0090324445407905,0.2052818118711467,0.06633650029095021,0.051781005164011816,0.08337141
JATAI,521190,2024-11-01,0.0090241305250239,0.04707321810705997,0.024224026607086575,0.009654276226767428,0.0018268973
JATAI,521190,2024-12-01,0.0360630020646068,0.05258276812455245,0.02502018831012046,0.011950581275685667,0.0063170246
JOVIANIA,521210,2024-07-01,0.0,0.09012085611148853,0.05386634995352163,0.034443893554546086,0.010046173
JOVIANIA,521210,2024-08-01,0.0,0.0800409276241526,0.07237806419208324,0.015987602638340377,0.007531727
JOVIANIA,521210,2024-09-01,0.0,0.022507870334984824,0.04021989115283737,0.018054820741212303,0.0006421951
JOVIANIA,521210,2024-10-01,0.0,0.0909488865781208,0.03821084807900644,0.021294598092047572,0.0025135295
JOVIANIA,521210,2024-11-01,0.0,0.030282911586212984,0.012016135928471226,0.007313780552287207,0.00084013154
JOVIANIA,521210,2024-12-01,0.0,0.025394952188660586,0.025419003068710658,0.010312006795866933,0.0020525965
JUSSARA,521220,2024-07-01,0.0,0.04630019493134368,0.03564407614767147,0.023620893239428748,0.00593714
JUSSARA,521220,2024-08-01,0.0,0.03255880497058275,0.06313517679991656,0.01642229154100613,0.007732668
JUSSARA,521220,2024-09-01,0.0,0.010035743630527887,0.06618566011048914,0.004574384259847392,0.0018398049
JUSSARA,521220,2024-10-01,0.0,0.05056031115449973,0.03256413388354941,0.02919439783527997,0.0013290542
JUSSARA,521220,2024-11-01,0.0,0.01778679119968957,0.01147357581242108,0.004192226625731948,7.574485e-05
JUSSARA,521220,2024-12-01,0.0,0.016369740822387957,0.008072421284595467,0.0019694688272455852,1.5174751e-05
LAGOA SANTA,521225,2024-07-01,0.0,0.03500202399017375,0.038108487306406785,0.013809010369808365,0.0009874569
LAGOA SANTA,521225,2024-08-01,0.0,0.047598942143754853,0.1752271604175775,0.019386774520639683,0.001091357
LAGOA SANTA,521225,2024-09-01,0.0,0.01474965615082104,0.051399854492288316,0.017340365476315237,0.00015779433
LAGOA SANTA,521225,2024-10-01,0.0,0.0350433551960821,0.026150035414911926,0.00991392314362351,0.00024722234
LAGOA SANTA,521225,2024-11-01,0.0,0.011160647894869926,0.020204216359469417,0.00264508990009571,5.2379433e-05
LAGOA SANTA,521225,2024-12-01,0.0,0.009148557175271485,0.01946817796821289,0.0014194904077102217,2.4692508e-05
LUZIANIA,521250,2024-07-01,0.0091377608830732,0.14899115446393457,0.1092423275389682,0.04451094954633756,0.0038793755
LUZIANIA,521250,2024-08-01,0.0,0.13333253962839922,0.16591358355105024,0.13181995791080406,0.022210907
LUZIANIA,521250,2024-09-01,0.0,0.055879678375026116,0.10078120170795195,0.13654515076976417,0.016267423
LUZIANIA,521250,2024-10-01,0.0,0.17454108713104918,0.04584274759174723,0.0423438671505138,0.0019381964
LUZIANIA,521250,2024-11-01,0.0045523036932839,0.055193277576028765,0.04429599066994308,0.03570913189561547,0.0038079713
LUZIANIA,521250,2024-12-01,0.0,0.05091981311373105,0.043764303192949904,0.04141535215340325,0.0033852314
MAIRIPOTABA,521260,2024-07-01,0.0,0.034598540281537075,0.024167468760887763,0.005565689899256184,8.31281e-06
MAIRIPOTABA,521260,2024-08-01,0.0,0.03195027013805038,0.055118063860381955,0.00397579501859131,0.00019144606
MAIRIPOTABA,521260,2024-09-01,0.0,0.008757855534825372,0.024003239369458286,0.0064385667529020685,1.1827004e-05
MAIRIPOTABA,521260,2024-10-01,0.0,0.0428028557208238,0.05602109826245144,0.003622698395487796,5.9486756e-06
MAIRIPOTABA,521260,2024-11-01,0.0,0.01206968051943005,0.011541547333495779,0.003771603066724397,3.1698444e-06
MAIRIPOTABA,521260,2024-12-01,0.0,0.009933220001432772,0.018711049494986493,0.004389633818825185,1.2794926e-06
MARZAGAO,521290,2024-07-01,0.0,0.07421140180962962,0.054635915174018716,0.016347584495020766,0.0025552372
MARZAGAO,521290,2024-08-01,0.0,0.071736739962764,0.08383249352990303,0.010150872667891763,0.0007798583
MARZAGAO,521290,2024-09-01,0.0,0.01891976047176771,0.04278730854873738,0.009781349134936779,0.0005081703
MARZAGAO,521290,2024-10-01,0.3442340791738382,0.07020208703246962,0.021437320328218924,0.008501912435274244,0.00013366924
MARZAGAO,521290,2024-11-01,0.0,0.020540615206399535,0.01233951495485564,0.0048306386523948985,0.00011650691
MARZAGAO,521290,2024-12-01,0.0,0.020690091621589596,0.029695394498733815,0.010458228541178751,6.509246e-05
MATRINCHA,521295,2024-07-01,0.0,0.02819756916672927,0.015540599859411617,0.004779676954992582,1.332179e-05
MATRINCHA,521295,2024-08-01,0.0,0.020906712042106677,0.03524258703266843,0.012972654926529556,0.0011021048
MATRINCHA,521295,2024-09-01,0.0,0.007891806151929349,0.014391238861321591,0.001381153965121326,5.0689225e-05
MATRINCHA,521295,2024-10-01,0.0,0.03831585380842263,0.04933568813718543,0.0037727453417025153,4.841906e-06
