cod_mun,municipio,n_meses_teste,casos_reais_total,MAE_pred_Poisson_GLM,RMSE_pred_Poisson_GLM,vies_pred_Poisson_GLM,MAPE_pred_Poisson_GLM,MAE_pred_Random_Forest,RMSE_pred_Random_Forest,vies_pred_Random_Forest,MAPE_pred_Random_Forest,MAE_pred_GradientBoosting,RMSE_pred_GradientBoosting,vies_pred_GradientBoosting,MAPE_pred_GradientBoosting,MAE_pred_XGBoost,RMSE_pred_XGBoost,vies_pred_XGBoost,MAPE_pred_XGBoost
520490,CAMPOS BELOS,6,0.0,0.03350620096811088,0.03517354596705954,0.03350620096811088,,0.057187517515450786,0.061247332119317946,0.057187517515450786,,0.017823334960280435,0.024531816154398017,0.017823334960280435,,0.005842714066666667,0.007655772432191121,0.005842714066666667,
521405,MUNDO NOVO,6,0.0,0.0341034027660233,0.036479002826807355,0.0341034027660233,,0.022087103792354384,0.025025142117468396,0.022087103792354384,,0.007786301358258785,0.009607826898945031,0.007786301358258785,,0.00047249035746666667,0.0007485855191527294,0.00047249035746666667,
520170,ARAGARCAS,6,0.0,0.034147869335173504,0.037347171339473025,0.034147869335173504,,0.05900300873669729,0.06798538302851423,0.05900300873669729,,0.04426639651766363,0.05521634844903544,0.04426639651766363,,0.004171561404166667,0.007331354651987621,0.004171561404166667,
520735,EDEALINA,6,0.0,0.03456752313088785,0.039581283439277144,0.03456752313088785,,0.038188200981312315,0.04756581507734283,0.038188200981312315,,0.01626237316858455,0.018140925137659532,0.01626237316858455,,0.00017644069383333336,0.00025278521038447574,0.00017644069383333336,
521120,ITAPURANGA,6,0.0,0.034966903037412504,0.038731519985203224,0.034966903037412504,,0.03303258188696128,0.03939985855560243,0.03303258188696128,,0.020028787388445785,0.02556275781227967,0.020028787388445785,,0.003055238553333334,0.005614351232933891,0.003055238553333334,
521900,SANCLERLANDIA,6,0.0,0.035089770251335466,0.039759605651537744,0.035089770251335466,,0.05189724979116067,0.06265785685349037,0.05189724979116067,,0.04955925830287138,0.09044537026386461,0.04955925830287138,,0.003040586572333333,0.006826105536316427,0.003040586572333333,
522170,URUANA,6,0.0,0.035444395328210115,0.03941329814635082,0.035444395328210115,,0.029387615000035495,0.03299567978933816,0.029387615000035495,,0.01802019464619965,0.023012737976008297,0.01802019464619965,,0.00408453421525,0.0068979391172788165,0.00408453421525,
520017,AGUA FRIA DE GOIAS,6,0.0,0.035672618111247,0.03680534785235902,0.035672618111247,,0.041922390209046805,0.04430499879422943,0.041922390209046805,,0.02924666848596143,0.03602238103763959,0.02924666848596143,,0.0023696658633333336,0.002724844082030398,0.0023696658633333336,
520620,CRISTALINA,6,0.2729379824542386,0.03571072007872782,0.03830009730918378,0.006150925949122453,92.5432895236497,0.026892469914141015,0.032602312556149614,0.014354541198263052,95.09723631784651,0.0179908440823684,0.021968779899044555,-0.0103762544878668,36.670319937576316,0.03139216509354093,0.038996719958897766,-0.0277202616423731,58.89109591601337
522180,URUTAI,6,0.0,0.03706915445848953,0.0418416865415308,0.03706915445848953,,0.035518652484020134,0.03751906420641481,0.035518652484020134,,0.0258790692284387,0.026458442952144813,0.0258790692284387,,0.00018099041933333334,0.00028097888921984774,0.00018099041933333334,
521130,ITARUMA,6,0.0,0.03766801211657778,0.04297776561579153,0.03766801211657778,,0.06462810434557004,0.08181534487684386,0.06462810434557004,,0.04444182206794787,0.05150605289461684,0.04444182206794787,,0.008954033049999999,0.01224202580194566,0.008954033049999999,
521310,MINEIROS,6,0.06758214916767319,0.03804386769146701,0.048016451646015805,0.03658309353805995,76.62392476727531,0.09239658625155002,0.10624991904309922,0.09239658625155002,408.61557673594035,0.10474983219018968,0.1372479873420117,0.10474983219018968,311.1255819567317,0.03372497756458593,0.04185240312174779,0.030492318005387802,155.8324466423902
520670,DAMIANOPOLIS,6,0.0,0.03810377481048104,0.03981921873007091,0.03810377481048104,,0.039298548196271564,0.040908149899276,0.039298548196271564,,0.021002110526193298,0.026764535928190374,0.021002110526193298,,0.000388024466,0.0005827428787849382,0.000388024466,
520470,CAMPINORTE,6,0.1552915599037192,0.0381202163802611,0.05694825318284586,-0.005634459251098833,84.52747011844272,0.046855011868780154,0.054767178390700604,0.011461865490078516,68.37424983169477,0.03065584561258393,0.054296710179519446,-0.0126585211122215,83.67685935731538,0.029307101067286536,0.06012661000431117,-0.019472005567286534,94.233917152
521090,ITAPACI,6,0.1380347093480618,0.03836237190706069,0.04470144811391657,0.011114634702035749,49.0707154917268,0.0471925878572316,0.052842558327588836,0.04096715209942013,46.7514350942863,0.06905608578242425,0.08661273319600334,0.06518479670583952,154.9347799285349,0.0171333284430937,0.01828377100041992,0.008250077775323035,27.5593043421
521930,SANTA HELENA DE GOIAS,6,0.1518885171411474,0.039533470360048166,0.05047415176516392,0.039533470360048166,150.47666700823842,0.08806193594110497,0.11119558573558819,0.08806193594110497,232.84864197831587,0.0425858683750559,0.06182455763969835,0.027237055710492935,71.68661395319441,0.021151695589656603,0.021576351869977466,-0.0006976014235245664,75.59854981084811
520010,ABADIANIA,6,0.0,0.04062935985566752,0.046724292700466886,0.04062935985566752,,0.085949722349018,0.09695473839165214,0.085949722349018,,0.04801701072763748,0.05126807617077801,0.04801701072763748,,0.0031126283166666665,0.00392445736707084,0.0031126283166666665,
520970,HIDROLANDIA,6,0.0333144551420861,0.04065187915491154,0.04505748645639294,0.04065187915491154,180.26661001107868,0.05381892020012885,0.061636316710437164,0.05381892020012885,242.34878920769157,0.014901171045586832,0.015818005559019348,0.014901171045586832,47.635075740134965,0.006427106507014349,0.011927780615974017,-0.0031532139736810167,86.27174396070998
521890,RUBIATABA,6,0.0496499677275209,0.041156918825449966,0.0435675279276747,0.0309643239411688,61.586716069292194,0.03892966830494352,0.04486050191323406,0.036788134184707284,12.939791614703413,0.06782561393357155,0.13116524992655665,0.06663414898136769,7.1991886807014405,0.04616977104541318,0.06424418124819464,0.04616977104541318,68.42840756500024
521710,PIRACANJUBA,6,0.1185114956150746,0.04138026100653297,0.0481855478559497,0.019615017530489966,55.09653733525528,0.03792636719045509,0.04378544529559031,0.03202409547668503,14.941010616237554,0.03420316312999123,0.04086937484573799,0.008130879386250265,65.99937906890592,0.02163879940584577,0.04683964977368079,-0.016499079465845768,96.5422265758
520150,APORE,6,0.0,0.041876584100621256,0.04847461677429464,0.041876584100621256,,0.06536495642642905,0.08893559005327771,0.06536495642642905,,0.048320206339794634,0.08583956289243942,0.048320206339794634,,0.0031602816000000002,0.005357276072544765,0.0031602816000000002,
520440,CAIAPONIA,6,0.1801549338201003,0.04310475294197683,0.04925688779251268,-0.0014355105372996322,75.63291518501111,0.031986614372279495,0.04466082657373695,0.028111131130752035,6.254264330085365,0.04118015183622201,0.05122283632046888,0.008746358716749818,52.5905474635149,0.021560761893350048,0.035660896651257615,-0.018861612046683383,71.26347842222499
