municipio,cod_mun,date,y_true,pred_Poisson_GLM,pred_Random_Forest,pred_GradientBoosting,pred_XGBoost
COLINAS DO SUL,520552,2024-11-01,0.0,0.008051679132096567,0.013494645696809072,0.0008500958982210376,7.3299407e-07
COLINAS DO SUL,520552,2024-12-01,0.0,0.010100860946231503,0.017897328352090548,0.0008440108432395096,2.4121184e-06
CORREGO DO OURO,520570,2024-07-01,0.0,0.05238022053222842,0.015484299296255477,0.0003886849920822065,5.233397e-06
CORREGO DO OURO,520570,2024-08-01,0.0,0.04220134242023373,0.034946713665329386,0.0026513162917724395,0.00015120774
CORREGO DO OURO,520570,2024-09-01,0.0,0.017963077854499732,0.019676968550255355,0.0002972017416028688,3.210253e-05
CORREGO DO OURO,520570,2024-10-01,0.0,0.061217180933320424,0.03359632086717208,0.00022736963046661836,1.4026248e-06
CORREGO DO OURO,520570,2024-11-01,0.0,0.02408944652446466,0.01787382935604277,8.125821792151316e-05,4.0687115e-05
CORREGO DO OURO,520570,2024-12-01,0.0,0.020056464750726984,0.011437319590865243,0.0001308185648418892,8.2901515e-06
CORUMBA DE GOIAS,520580,2024-07-01,0.0,0.04386633269311338,0.051701519313377825,0.029797635097707748,0.009158326
CORUMBA DE GOIAS,520580,2024-08-01,0.0933271115258982,0.0494689705056231,0.049607252341328255,0.03849802821619153,0.018928085
CORUMBA DE GOIAS,520580,2024-09-01,0.0,0.02794467247416268,0.028077712101700816,0.04922041893353509,0.0019662464
CORUMBA DE GOIAS,520580,2024-10-01,0.0,0.07134502178801876,0.056642597267400285,0.06612503369652949,0.015856935
CORUMBA DE GOIAS,520580,2024-11-01,0.0,0.023559709957144355,0.03417591202507629,0.11039020188143689,0.023940757
CORUMBA DE GOIAS,520580,2024-12-01,0.1866019779809666,0.016168373357613876,0.03771534482752132,0.049448937785330625,0.013759957
CORUMBAIBA,520590,2024-07-01,0.1062022090059473,0.09266154998745567,0.09145618395551387,0.07299270182766388,0.0083397245
CORUMBAIBA,520590,2024-08-01,0.0,0.0849425658113873,0.10556469245982937,0.04067161596580007,0.0059544826
CORUMBAIBA,520590,2024-09-01,0.0,0.028138656337176698,0.07142516311102694,0.025798922453579527,0.0055783764
