cod_mun,municipio,n_meses_teste,casos_reais_total,MAE_pred_Poisson_GLM,RMSE_pred_Poisson_GLM,vies_pred_Poisson_GLM,MAPE_pred_Poisson_GLM,MAE_pred_Random_Forest,RMSE_pred_Random_Forest,vies_pred_Random_Forest,MAPE_pred_Random_Forest,MAE_pred_GradientBoosting,RMSE_pred_GradientBoosting,vies_pred_GradientBoosting,MAPE_pred_GradientBoosting,MAE_pred_XGBoost,RMSE_pred_XGBoost,vies_pred_XGBoost,MAPE_pred_XGBoost
520490,CAMPOS BELOS,6,0.0,0.010894543296391584,0.011330484060858195,0.010894543296391584,,0.029478398669643302,0.03057073144422949,0.029478398669643302,,0.008207652414077818,0.00839977753250215,0.008207652414077818,,0.0029147083333333334,0.0030385110332444344,0.0029147083333333334,
520485,CAMPO LIMPO DE GOIAS,6,0.0,0.011438244006817084,0.012700154299384264,0.011438244006817084,,0.020650290779665383,0.022530667521971342,0.020650290779665383,,0.0027177187303979167,0.002843322914549592,0.0027177187303979167,,6.298674733333333e-06,8.549096353554566e-06,6.298674733333333e-06,
520929,GUARAITA,6,0.0,0.0114692263462474,0.012504991638423557,0.0114692263462474,,0.016856882508586083,0.018257449849524876,0.016856882508586083,,0.00063103044330605,0.0009514225390748875,0.00063103044330605,,1.086318572833333e-05,1.785761575665267e-05,1.086318572833333e-05,
520670,DAMIANOPOLIS,6,0.0,0.011492264891234132,0.01200569567650745,0.011492264891234132,,0.025664931221066365,0.02658570805105665,0.025664931221066365,,0.0025790920781915165,0.0027770707837018347,0.0025790920781915165,,0.0004678091178333334,0.0006620404147176257,0.0004678091178333334,
522155,TURVELANDIA,6,0.0,0.011515982987912265,0.013248094415016318,0.011515982987912265,,0.028812296642600304,0.03200244167200745,0.028812296642600304,,0.0029295122969783833,0.0034844982012554593,0.0029295122969783833,,1.179732815e-05,1.655462953479203e-05,1.179732815e-05,
521385,MORRO AGUDO DE GOIAS,6,0.0,0.01169327701347305,0.0127634538584269,0.01169327701347305,,0.01622392459844778,0.01856190742010721,0.01622392459844778,,0.0019922428797815,0.002363978355885205,0.0019922428797815,,2.6159022475000002e-05,5.189015549298105e-05,2.6159022475000002e-05,
521410,MUTUNOPOLIS,6,0.0,0.011827681003779051,0.012076631697053494,0.011827681003779051,,0.013977032239486584,0.014237953556646421,0.013977032239486584,,0.0122216772241802,0.013121072903429596,0.0122216772241802,,0.0002542427406666666,0.00030003905873445056,0.0002542427406666666,
520552,COLINAS DO SUL,6,0.0,0.012281881214130916,0.012661448389631827,0.012281881214130916,,0.019092483450148034,0.019560712724288516,0.019092483450148034,,0.0017613937512873335,0.001908503596159095,0.0017613937512873335,,1.1623396161666669e-05,1.646868054055748e-05,1.1623396161666669e-05,
520735,EDEALINA,6,0.0,0.01229541033224965,0.013620033429286839,0.01229541033224965,,0.020478760824621686,0.024260275111286336,0.020478760824621686,,0.001234071863150283,0.001354538120408397,0.001234071863150283,,3.1504522416666666e-06,3.5450553754701657e-06,3.1504522416666666e-06,
520005,ABADIA DE GOIAS,6,0.0,0.012667400052950584,0.01429692290325017,0.012667400052950584,,0.021123441513616198,0.022247300372454325,0.021123441513616198,,0.005389715586413817,0.005686106419934923,0.005389715586413817,,5.219134083333334e-05,6.377869363607295e-05,5.219134083333334e-05,
