cod_mun,municipio,populacao,baseline_srag_municipio,year_trend,month_sin,month_cos,fase_covid,meteo_temp_media,meteo_temp_min,meteo_temp_max,meteo_temp_amplitude,meteo_precipitacao,meteo_umidade,fogo_pct_territorio,mapbiomas_pct_forest,mapbiomas_pct_non_forest_natural,mapbiomas_pct_non_vegetated,mapbiomas_pct_water,taxa_GradientBoosting,casos_GradientBoosting,taxa_Poisson_GLM,casos_Poisson_GLM,taxa_Random_Forest,casos_Random_Forest,taxa_XGBoost,casos_XGBoost,taxa_predita,casos_esperados,rank_risco
521730,PIRENOPOLIS,25677.0,0.1135338972701022,1.0,0.0,0.0,2.0,25.08638888888889,15.8,31.835,17.445,2.37125,51.62222222222222,1.3787,51.79314166666666,1.3188875,0.3771625,0.06672916666666664,0.024146165716038025,620,0.00935996228024061,240,0.038801806411763125,996,0.02186148,561,0.024146165716038025,620,41
521930,SANTA HELENA DE GOIAS,38930.0,0.088412661063644,1.0,0.0,0.0,2.0,27.070138888888888,16.95,33.87,20.05,2.025138888888889,49.31222222222223,0.9307,7.2291,3.0716791666666667,1.2494375,1.0276291666666668,0.022283315280416233,867,0.005965104664474068,232,0.028797184554027147,1121,0.019041846,741,0.022283315280416233,867,42
520740,EDEIA,11755.0,0.1171138923174562,1.0,0.0,0.0,2.0,27.686111111111114,17.395,34.415,20.09,2.183611111111111,49.28,0.3132,11.260554166666667,5.636704166666666,0.44129583333333333,0.5353541666666666,0.022088668431780648,260,0.0068092807848191906,80,0.03537872154749756,416,0.013777959,162,0.022088668431780648,260,43
520890,GOIAS,25035.0,0.1852712388855664,1.0,0.0,0.0,2.0,26.86402777777778,18.03,33.44,17.535,2.446111111111111,50.82666666666667,0.3255,37.76529583333333,0.4982458333333333,0.22626666666666664,0.13917916666666663,0.021370586701621945,535,0.014980019310349507,375,0.0432981159806782,1084,0.02821111,706,0.021370586701621945,535,44
521800,PORANGATU,45115.0,0.1575403674024303,1.0,0.0,0.0,2.0,29.50347222222222,20.14,36.735,17.96,2.429583333333333,48.940000000000005,0.1517,35.09549166666667,0.4035333333333333,0.3906625,0.3256458333333333,0.020277664426213884,915,0.009397231423248185,424,0.03980348680719712,1796,0.017218877,777,0.020277664426213884,915,45
520500,CARMO DO RIO VERDE,9585.0,0.0599447588016338,1.0,0.0,0.0,2.0,27.29611111111111,18.15,34.215,18.125,2.37125,50.60111111111112,1.2339,14.750770833333334,0.06922499999999995,0.6838958333333334,0.438975,0.019860461137724102,190,0.004845102991369351,46,0.02016337231984547,193,0.01330809,128,0.019860461137724102,190,46
521830,POSSE,34732.0,0.0722383538676843,1.0,0.0,0.0,2.0,26.545416666666668,17.02,33.614999999999995,17.795,2.0193055555555555,48.17777777777778,0.916,33.88279583333333,3.890345833333333,1.0230875,0.2712833333333333,0.017783061598228192,618,0.0063598156923916176,221,0.02392999414653848,831,0.016192222,562,0.017783061598228192,618,47
522000,SAO JOAO D'ALIANCA,12448.0,0.0956190691688602,1.0,0.0,0.0,2.0,26.04222222222222,16.15,33.635000000000005,19.375,1.9580555555555557,49.903333333333336,2.0056,60.185545833333336,4.358125,0.777775,0.9179250000000001,0.01733373866379205,216,0.009805051661885321,122,0.03319165076558934,413,0.016259039,202,0.01733373866379205,216,48
521740,PIRES DO RIO,31581.0,0.0571376685328431,1.0,0.0,0.0,2.0,25.894027777777776,16.14,32.925,19.065,2.0406944444444446,50.31888888888889,0.0544,31.143583333333332,0.054825,0.9916958333333333,0.6212916666666666,0.017315804073365013,547,0.006238236505883706,197,0.02017411425272677,637,0.0116450265,368,0.017315804073365013,547,49
521910,SANTA BARBARA DE GOIAS,6136.0,0.0606885428157094,1.0,0.0,0.0,2.0,25.945138888888888,17.115000000000002,32.67,17.955,2.38,51.63777777777778,0.1622,17.44891666666667,0.76975,1.7423250000000001,0.8762333333333333,0.016270671252937016,100,0.0059528366738048925,37,0.019293478686878418,118,0.012853179,79,0.016270671252937016,100,50
521040,ITABERAI,41290.0,0.0397592367634185,1.0,0.0,0.0,2.0,26.86402777777778,18.03,33.44,17.535,2.446111111111111,50.82666666666667,1.1865,17.14885,0.12341249999999995,0.9632375,0.506,0.01548451716143538,639,0.003685205610449797,152,0.015669972210212282,647,0.00849745,351,0.01548451716143538,639,51
520030,ALEXANIA,26217.0,0.0896822238437,1.0,0.0,0.0,2.0,25.08638888888889,15.8,31.835,17.445,2.37125,51.62222222222222,0.0964,34.717437499999996,0.4392708333333333,2.9856333333333334,4.479208333333333,0.015292628363268139,401,0.0060840827369078,160,0.02718096464079584,713,0.01742803,457,0.015292628363268139,401,52
520630,CRISTIANOPOLIS,3308.0,0.0903998106199132,1.0,0.0,0.0,2.0,25.481250000000003,16.02,32.625,18.615000000000002,2.2244444444444444,51.72666666666667,0.0747,27.78965,0.5224583333333334,0.817625,0.16450416666666665,0.01517995650565041,50,0.00996223461697286,33,0.027819911614009225,92,0.013616635,45,0.01517995650565041,50,53
522100,TAQUARAL DE GOIAS,3851.0,0.1167087853811204,1.0,0.0,0.0,2.0,26.24111111111111,17.155,32.89,17.564999999999998,2.415,51.18,0.407,21.8216,0.0,0.5765291666666666,0.15552916666666666,0.015056304660285765,58,0.008730040043738159,34,0.038548210952889454,148,0.018915664,73,0.015056304660285765,58,54
520130,ANICUNS,19719.0,0.0375370810656475,1.0,0.0,0.0,2.0,26.64138888888889,17.595,33.44,18.47,2.364444444444444,51.1,0.7767,14.055083333333334,0.0469,0.5987666666666667,0.2511,0.014938199239510837,295,0.004576414225436863,90,0.013532340929522208,267,0.008449184,167,0.014938199239510837,295,55
521760,PLANALTINA,97045.0,0.0485516482729007,1.0,0.0,0.0,2.0,25.138333333333335,15.36,32.555,19.134999999999998,1.8093055555555553,51.49333333333333,2.3628,64.89989166666666,0.7800625000000001,1.6188583333333333,0.29376250000000004,0.014266387050628784,1384,0.006154894008120002,597,0.01933489349227399,1876,0.0059672077,579,0.014266387050628784,1384,56
520410,CACHOEIRA ALTA,11364.0,0.0794611746679757,1.0,0.0,0.0,2.0,27.431805555555556,17.465,34.945,20.215,1.8569444444444443,48.606666666666676,0.3331,15.876212500000001,2.933608333333333,0.289975,1.4642875,0.014158453413837688,161,0.007888849046349485,90,0.020164696720504055,229,0.010578485,120,0.014158453413837688,161,57
520390,BURITI ALEGRE,9996.0,0.0404329579749754,1.0,0.0,0.0,2.0,26.696805555555557,17.39,33.515,18.244999999999997,2.230277777777778,51.24444444444445,0.1817,19.883758333333333,0.1092,0.5752833333333334,7.403241666666666,0.014134608034896409,141,0.0025483591158559633,25,0.01375107483384886,137,0.007188216,72,0.014134608034896409,141,58
520620,CRISTALINA,55968.0,0.0352071529794842,1.0,0.0,0.0,2.0,25.29222222222222,15.41,32.345,18.725,1.9036111111111111,50.70666666666668,0.8783,26.12377083333333,5.727712500000001,0.8068916666666667,1.8275333333333332,0.013987253121048456,783,0.00434275564083756,243,0.013387724581013383,749,0.005291967,296,0.013987253121048456,783,59
