cod_mun,municipio,populacao,taxa_baseline,taxa_simulada,delta_abs,delta_pct,casos_baseline,casos_simulados,delta_casos
520993,INACIOLANDIA,6012.0,0.000973429902851353,0.0007133006390187309,-0.0002601292638326221,-26.722957972695955,6,4,-2
520995,INDIARA,15894.0,0.010018402119419047,0.008322135007647752,-0.001696267111771295,-16.93151354429422,159,132,-27
521000,INHUMAS,51925.0,0.04271632417368435,0.050515099577417434,0.0077987754037330825,18.25713132998828,2218,2623,405
521010,IPAMERI,25873.0,0.006617739088238418,0.004692977295382395,-0.0019247617928560235,-29.084884840456553,171,121,-50
521015,IPIRANGA DE GOIAS,2952.0,0.0016663152563950638,0.0014596370596611982,-0.0002066781967338656,-12.403306993719596,5,4,-1
521020,IPORA,34495.0,0.04752830821798575,0.04816892629923673,0.0006406180812509807,1.347866366950879,1639,1662,23
521030,ISRAELANDIA,2758.0,1.4466911688500215e-05,1.3416135993336919e-05,-1.0507756951632959e-06,-7.2633034457420536,0,0,0
521040,ITABERAI,41290.0,0.013975305088557587,0.01548451716143538,0.0015092120728777934,10.799135069426677,577,639,62
521056,ITAGUARI,4877.0,0.002466290196086026,0.003220421193764894,0.0007541309976788679,30.577545127319773,12,16,4
521060,ITAGUARU,5246.0,0.03414551212537723,0.03499418006315235,0.0008486679377751188,2.4854450407975626,179,184,5
521080,ITAJA,4768.0,0.005619532407936091,0.0036292880234640407,-0.0019902443844720505,-35.41654785478879,27,17,-10
521090,ITAPACI,20300.0,0.041398355268615156,0.04484071275874874,0.0034423574901335866,8.315203509409226,840,910,70
521100,ITAPIRAPUA,8084.0,0.0013704178326954147,0.0007058332787879161,-0.0006645845539074985,-48.49503108116714,11,6,-5
521120,ITAPURANGA,26989.0,0.008951186333080825,0.010425265615821678,0.001474079282740853,16.46797673391191,242,281,39
521130,ITARUMA,6340.0,0.04111910154909177,0.02774120518675601,-0.013377896362335759,-32.53450551774336,261,176,-85
521140,ITAUCU,8270.0,0.0014387048624937802,0.0016900539073646543,0.00025134904487087405,17.470507775666928,12,14,2
521150,ITUMBIARA,103773.0,0.0830207430723102,0.07088563539739161,-0.012135107674918585,-14.616958636890342,8615,7356,-1259
521160,IVOLANDIA,2715.0,0.0015939604290146519,0.001204891437691337,-0.0003890689913233149,-24.40894919604924,4,3,-1
521170,JANDAIA,6375.0,0.0008409534275709653,0.0006922768245852459,-0.00014867660298571934,-17.679528748121193,5,4,-1
521180,JARAGUA,45233.0,0.04486836923650423,0.04303061506753166,-0.001837754168972569,-4.0958791243016694,2030,1946,-84
521190,JATAI,100748.0,0.04910765924710514,0.047943593564073225,-0.0011640656830319146,-2.370436100760668,4947,4830,-117
521200,JAUPACI,3009.0,1.45114156336392e-05,1.6868126727384593e-05,2.3567110937453925e-06,16.240394136890778,0,0,0
521205,JESUPOLIS,2232.0,1.713308242402926e-05,1.502027409946659e-05,-2.1128083245626675e-06,-12.331746689080537,0,0,0
521210,JOVIANIA,7282.0,0.011362767645833036,0.008233912078842139,-0.0031288555669908968,-27.53603404130431,83,60,-23
521220,JUSSARA,19813.0,0.008301575846833237,0.004768311281956537,-0.0035332645648767005,-42.56137184152233,164,94,-70
521225,LAGOA SANTA,1318.0,0.002263419660911004,0.0017877714723518341,-0.00047564818855916975,-21.014582349599547,3,2,-1
521230,LEOPOLDO DE BULHOES,8325.0,1.2086778157544024e-05,1.4603008385767828e-05,2.5162302282238036e-06,20.81803931061054,0,0,0
521250,LUZIANIA,201050.0,0.021951563066169345,0.027214676543611604,0.005263113477442259,23.976030597809718,4413,5472,1059
521260,MAIRIPOTABA,2534.0,0.0011666460391161096,0.0010749544531486837,-9.169158596742592e-05,-7.859417757668346,3,3,0
521270,MAMBAI,7697.0,1.8657362842524108e-05,1.1660132775377912e-05,-6.997230067146196e-06,-37.503853712905325,0,0,0
521280,MARA ROSA,10972.0,1.1545685844860382e-05,9.41706887934721e-06,-2.1286169655131722e-06,-18.436470506087225,0,0,0
521290,MARZAGAO,2443.0,0.005757959297681791,0.006315659437619673,0.000557700139937882,9.685725638290242,14,15,1
521295,MATRINCHA,4301.0,0.0004335090478851133,0.0002809061852523552,-0.00015260286263275809,-35.20177107657514,2,1,-1
521300,MAURILANDIA,11216.0,0.012707605334239466,0.013016631515672405,0.00030902618143293856,2.4318207349444205,143,146,3
521305,MIMOSO DE GOIAS,2701.0,1.0772160880024251e-05,7.51161248239661e-06,-3.260548397627641e-06,-30.268285388068772,0,0,0
521308,MINACU,29685.0,0.0011639294407627646,0.0009771398013810996,-0.00018678963938166494,-16.04819268591187,35,29,-6
521310,MINEIROS,63166.0,0.04287694304868521,0.04597396571657462,0.0030970226678894083,7.223049144088588,2708,2904,196
521340,MOIPORA,1747.0,1.6903294561538705e-05,1.5804937479021993e-05,-1.0983570825167116e-06,-6.497887607164365,0,0,0
521350,MONTE ALEGRE DE GOIAS,7340.0,1.604210525856228e-05,1.107697807564832e-05,-4.965127182913959e-06,-30.950595965351134,0,0,0
521370,MONTES CLAROS DE GOIAS,8537.0,0.007587756815519,0.003459821724322972,-0.004127935091196027,-54.40257498439186,65,30,-35
521375,MONTIVIDIU,11846.0,0.006053436500526726,0.0047229913861997356,-0.0013304451143269901,-21.97834427124534,72,56,-16
521377,MONTIVIDIU DO NORTE,3998.0,8.57545532694841e-06,7.393834654887765e-06,-1.1816206720606453e-06,-13.779101248972712,0,0,0
521380,MORRINHOS,47707.0,0.031051743900628016,0.02887762996405129,-0.0021741139365767277,-7.001584012589891,1481,1378,-103
521385,MORRO AGUDO DE GOIAS,2454.0,0.0028036420132108867,0.0018908201855504904,-0.0009128218276603962,-32.55843019041443,7,5,-2
521390,MOSSAMEDES,4901.0,1.4697508616558568e-05,1.4378484899772206e-05,-3.190237167863624e-07,-2.1705972427663185,0,0,0
